Category,Type,Lot #,Shape,Carat,Color,Clarity,Cut,Pol.,Sym.,Depth %,Table %,Fluor.,Measurement,Lab,Certificate #,Rap. Price,Discount,Price/Ct,Total Price,Cert,Video,Cert,Video,,
Certified,3-3.99,S3574,X,3.37,J,I1,,G,G,28.9,67,NON,13.55 x 11.16 x 3.22,GIA,2181901394,"$3,900 ",6.67%,"$4,160 ","$14,019 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2181901394,0,,
Certified,4-4.99,10336,TRIL,4.33,D,SI1,,VG,G,32.3,64,VST,12.97 x 14.12 x 4.56,GIA,5172815363,"$20,500 ",-62.44%,"$7,700 ","$33,341 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5172815363,https://up.diacam360.com/scan/5da9_44969,,
Certified,3-3.99,11237,TRIL,3.06,M,SI1,,VG,VG,36.6,63,NON,10.61 x 11.21 x 4.10,GIA,7288765271,"$4,200 ",-35.71%,"$2,700 ","$8,262 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=7288765271,https://up.diacam360.com/scan/e213_282931,,
Certified,2-2.99,11715,TRIL,2,F,SI1,,VG,VG,32.9,61,MED,9.53 x 10.22 x 3.36,GIA,5293045125,"$10,500 ",-52.90%,"$4,945 ","$9,890 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5293045125,http://up.diacam360.com/scan/0460_316809,,
Certified,2-2.99,11891,TRIL,2.01,G,I1,,EX,EX,38.4,67,NON,9.50 x 9.89 x 3.80,GIA,1283765941,"$4,100 ",-16.29%,"$3,432 ","$6,898 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1283765941,https://up.diacam360.com/scan/0608_353328,,
Certified,2-2.99,11714,TRIL,2.1,H,SI1,,VG,VG,34.2,63,FNT,9.46 x 10.17 x 3.48,GIA,1323363928,"$8,600 ",-49.77%,"$4,320 ","$9,072 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1323363928,http://up.diacam360.com/scan/f67c_316799,,
Certified,2-2.99,11890,TRIL,2.08,I,SI1,,EX,EX,46.6,58,NON,9.14 x 9.02 x 4.20,GIA,6302714498,"$7,100 ",-41.90%,"$4,125 ","$8,580 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6302714498,https://up.diacam360.com/scan/4ab1_353323,,
Certified,2-2.99,11889,TRIL,2,I,SI2,,EX,EX,41.3,68,NON,9.20 x 9.47 x 3.91,GIA,5336159362,"$6,900 ",-37.39%,"$4,320 ","$8,640 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5336159362,https://up.diacam360.com/scan/bbad_353321,,
Certified,2-2.99,11487,TRIL,2.03,J,SI2,,EX,VG,33.3,70,NON,9.84 x 10.54 x 3.51,GIA,2317200503,"$5,700 ",-29.61%,"$4,012 ","$8,144 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2317200503,http://up.diacam360.com/scan/b603_303897,,
Certified,2-2.99,8888,TRIL,2.75,L,VS2,,G,G,42.8,71,MED,10.42 x 10.57 x 4.53,GIA,2151856625,"$3,900 ",-24.62%,"$2,940 ","$8,085 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2151856625,http://up.diacam360.com/scan/52a5_231183,,
Certified,1.5-1.99,9667,TRIL,1.71,F,SI2,,VG,VG,32.4,75,NON,8.92 x 10.03 x 3.25,GIA,2146302003,"$6,200 ",-22.19%,"$4,824 ","$8,249 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2146302003,0,,
Certified,1.5-1.99,11970,TRIL,1.5,H,VS2,,G,G,28.1,74,FNT,9.09 x 10.22 x 2.87,GIA,14067318,"$7,100 ",-48.62%,"$3,648 ","$5,472 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=14067318,https://up.diacam360.com/scan/477a_359100/video,,
Certified,1.5-1.99,11888,TRIL,1.5,I,SI1,,EX,VG,37.6,64,NON,8.21 x 9.15 x 3.44,GIA,5313802407,"$5,700 ",-35.82%,"$3,658 ","$5,487 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5313802407,https://up.diacam360.com/scan/f69e_353315,,
Certified,1.5-1.99,9669,TRIL,1.5,I,SI1,,VG,VG,29.4,63,NON,8.83 x 10.00 x 2.94,GIA,2195848091,"$5,700 ",-35.79%,"$3,660 ","$5,490 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2195848091,0,,
Certified,1.5-1.99,11488,TRIL,1.72,J,SI2,,EX,EX,37.3,66,NON,9.05 x 9.57 x 3.57,GIA,1275714269,"$4,300 ",-34.07%,"$2,835 ","$4,876 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1275714269,http://up.diacam360.com/scan/711d_303899,,
Certified,1.5-1.99,S3575,TRIL,1.74,L,SI1,,VG,G,39.2,83,FNT,8.72 x 8.92 x 3.50,GIA,2185901364,"$3,200 ",-22.66%,"$2,475 ","$4,307 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2185901364,0,,
